wife_age,wife_edu,husband_edu,num_children,wife_religion,wife_working,husband_occupation,standard_of_living_index,media_exposure,target
,2.0,4.0,4.0,1.0,,3.0,2.0,,1
,1.0,4.0,5.0,1.0,,1.0,2.0,,1
22.0,2.0,2.0,2.0,1.0,,3.0,1.0,,1
23.0,1.0,1.0,3.0,1.0,,2.0,1.0,,1
,4.0,4.0,0.0,1.0,0.0,1.0,,,1
,1.0,3.0,0.0,1.0,,2.0,,,1
,3.0,3.0,1.0,1.0,0.0,3.0,,,1
,4.0,4.0,4.0,1.0,,2.0,,,1
,3.0,4.0,1.0,1.0,,2.0,,,1
,3.0,4.0,5.0,1.0,,1.0,,,1
26.0,4.0,4.0,1.0,1.0,,1.0,,,1
22.0,4.0,4.0,0.0,1.0,,2.0,,,1
20.0,3.0,4.0,0.0,1.0,0.0,2.0,,,1
,4.0,4.0,4.0,1.0,,1.0,,,1
,2.0,2.0,8.0,1.0,0.0,3.0,1.0,,1
22.0,2.0,4.0,1.0,1.0,,2.0,,,1
22.0,3.0,3.0,2.0,1.0,,3.0,,,1
25.0,3.0,2.0,2.0,1.0,,3.0,2.0,,1
,2.0,4.0,0.0,1.0,0.0,3.0,,,1
,4.0,4.0,0.0,0.0,,1.0,,,1
,2.0,4.0,4.0,1.0,0.0,1.0,,,1
,2.0,4.0,2.0,1.0,0.0,2.0,,,1
,2.0,1.0,10.0,1.0,0.0,2.0,,,1
,4.0,4.0,2.0,1.0,0.0,1.0,,,1
25.0,2.0,4.0,1.0,1.0,,2.0,2.0,,1
,1.0,3.0,12.0,1.0,,3.0,,,1
,2.0,1.0,3.0,1.0,0.0,4.0,,,1
,3.0,4.0,5.0,1.0,0.0,2.0,2.0,,1
,2.0,3.0,1.0,1.0,,3.0,,,1
20.0,2.0,4.0,0.0,1.0,,3.0,2.0,,1
,2.0,3.0,4.0,1.0,,3.0,1.0,,1
19.0,3.0,3.0,2.0,1.0,,3.0,2.0,,1
,3.0,2.0,3.0,1.0,,3.0,2.0,,1
,1.0,2.0,4.0,1.0,,4.0,1.0,,1
,3.0,4.0,3.0,1.0,0.0,3.0,2.0,,1
,1.0,1.0,11.0,1.0,,4.0,1.0,,1
24.0,3.0,3.0,2.0,1.0,,3.0,,,1
18.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,,1
,1.0,2.0,6.0,1.0,,3.0,,,1
25.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,,1
,3.0,4.0,6.0,1.0,,2.0,,,1
,1.0,1.0,5.0,1.0,,2.0,2.0,,1
,2.0,4.0,2.0,1.0,,3.0,,,1
,1.0,4.0,11.0,0.0,,2.0,2.0,,1
22.0,2.0,4.0,0.0,1.0,,3.0,,,1
,2.0,4.0,2.0,1.0,0.0,2.0,,,1
27.0,2.0,3.0,2.0,1.0,,3.0,,,1
,3.0,4.0,1.0,1.0,,1.0,2.0,,1
22.0,2.0,3.0,2.0,1.0,,3.0,1.0,,1
26.0,2.0,4.0,0.0,1.0,,3.0,1.0,,1
,3.0,4.0,0.0,1.0,0.0,2.0,,,1
,4.0,4.0,1.0,1.0,,1.0,,,1
,2.0,3.0,3.0,1.0,0.0,3.0,2.0,,1
,3.0,3.0,1.0,0.0,,3.0,,,1
,1.0,2.0,1.0,1.0,0.0,3.0,,,1
26.0,3.0,4.0,3.0,1.0,,3.0,2.0,,1
,1.0,3.0,5.0,1.0,,3.0,2.0,,1
,1.0,3.0,8.0,1.0,,3.0,1.0,,1
27.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,,1
,3.0,2.0,1.0,1.0,,3.0,,,1
,3.0,2.0,8.0,1.0,0.0,2.0,,,1
,3.0,2.0,4.0,1.0,,2.0,2.0,,1
,3.0,3.0,2.0,1.0,0.0,2.0,,,1
22.0,2.0,3.0,1.0,1.0,,3.0,,,1
27.0,3.0,4.0,0.0,1.0,,3.0,,,1
,1.0,2.0,2.0,1.0,,2.0,2.0,,1
22.0,1.0,2.0,0.0,1.0,,2.0,,,1
,4.0,4.0,4.0,1.0,,1.0,,,1
,4.0,4.0,4.0,1.0,0.0,1.0,,,1
,3.0,3.0,2.0,1.0,,1.0,,,1
,1.0,3.0,1.0,1.0,,2.0,,,1
,1.0,4.0,8.0,1.0,,3.0,,,1
,3.0,4.0,0.0,1.0,,3.0,2.0,,1
,1.0,3.0,4.0,1.0,,3.0,,,1
26.0,2.0,4.0,1.0,1.0,,1.0,,,1
21.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,,1
20.0,2.0,3.0,1.0,1.0,,2.0,,,1
,1.0,1.0,5.0,1.0,0.0,3.0,1.0,,1
27.0,2.0,3.0,1.0,1.0,0.0,3.0,,,1
,2.0,3.0,5.0,1.0,0.0,3.0,2.0,,1
24.0,4.0,4.0,1.0,1.0,,3.0,,,1
,3.0,3.0,6.0,1.0,,3.0,,,1
20.0,3.0,3.0,1.0,1.0,,2.0,,,1
19.0,3.0,4.0,1.0,1.0,,2.0,,,1
,3.0,3.0,4.0,1.0,,2.0,2.0,,1
,1.0,4.0,4.0,1.0,,3.0,,,1
22.0,4.0,4.0,2.0,1.0,,1.0,,,1
,3.0,4.0,4.0,1.0,,1.0,,,1
,4.0,4.0,2.0,0.0,,1.0,,,1
,4.0,4.0,2.0,1.0,0.0,1.0,,,1
23.0,4.0,4.0,2.0,1.0,,1.0,,,1
27.0,4.0,4.0,1.0,1.0,,1.0,2.0,,1
,3.0,2.0,11.0,1.0,0.0,2.0,2.0,,1
,4.0,4.0,3.0,0.0,,1.0,2.0,,1
,4.0,4.0,5.0,1.0,,3.0,,,1
25.0,3.0,3.0,1.0,1.0,,3.0,2.0,,1
26.0,4.0,4.0,1.0,1.0,0.0,1.0,,,1
,1.0,3.0,4.0,1.0,,3.0,,,1
,4.0,4.0,2.0,1.0,,3.0,,,1
,3.0,4.0,2.0,0.0,,2.0,,,1
,1.0,2.0,7.0,1.0,,3.0,,,1
,2.0,2.0,1.0,1.0,0.0,3.0,2.0,,1
,3.0,3.0,1.0,0.0,,3.0,,,1
,1.0,2.0,7.0,1.0,0.0,3.0,2.0,,1
,1.0,3.0,5.0,1.0,0.0,3.0,2.0,,1
,3.0,3.0,3.0,1.0,0.0,2.0,,,1
22.0,3.0,3.0,0.0,1.0,,2.0,2.0,,1
,2.0,4.0,5.0,1.0,,3.0,2.0,,1
22.0,4.0,4.0,0.0,1.0,,1.0,,,1
,3.0,4.0,6.0,1.0,,2.0,,,1
,3.0,4.0,10.0,1.0,0.0,3.0,2.0,,1
,3.0,3.0,7.0,1.0,,3.0,1.0,,1
,1.0,1.0,6.0,1.0,0.0,3.0,1.0,,1
,4.0,4.0,2.0,1.0,,1.0,,,1
,3.0,4.0,1.0,1.0,,3.0,,,1
25.0,3.0,4.0,1.0,1.0,,2.0,1.0,,1
,2.0,4.0,6.0,0.0,,2.0,,,1
23.0,3.0,4.0,2.0,1.0,0.0,2.0,,,1
,3.0,4.0,1.0,0.0,,2.0,,,1
,2.0,1.0,5.0,0.0,,2.0,,,1
,2.0,3.0,0.0,1.0,,2.0,,,1
,3.0,4.0,6.0,1.0,,3.0,,,1
,4.0,4.0,3.0,1.0,,2.0,,,1
,2.0,3.0,6.0,1.0,0.0,3.0,,,1
21.0,2.0,4.0,2.0,1.0,,3.0,1.0,,1
22.0,4.0,4.0,0.0,1.0,,1.0,,,1
,3.0,3.0,5.0,1.0,,3.0,,,1
,2.0,4.0,2.0,1.0,0.0,4.0,,,1
,4.0,4.0,5.0,0.0,,2.0,,,1
22.0,4.0,4.0,0.0,1.0,0.0,1.0,,,1
23.0,2.0,4.0,4.0,1.0,,3.0,,,1
22.0,2.0,1.0,0.0,1.0,,3.0,2.0,,1
,1.0,3.0,0.0,1.0,,2.0,2.0,,1
24.0,4.0,4.0,1.0,1.0,,2.0,2.0,,1
,4.0,4.0,4.0,1.0,,1.0,,,1
,1.0,2.0,2.0,1.0,,2.0,,,1
,4.0,4.0,3.0,1.0,,3.0,,,1
,4.0,4.0,1.0,1.0,,1.0,,,1
,3.0,4.0,6.0,1.0,,1.0,,,1
,3.0,4.0,9.0,1.0,,1.0,,,1
,4.0,4.0,2.0,1.0,,1.0,,,1
,4.0,4.0,3.0,0.0,,1.0,,,1
26.0,4.0,4.0,1.0,1.0,,1.0,,,1
,1.0,2.0,7.0,1.0,,2.0,,,1
,4.0,2.0,0.0,1.0,0.0,2.0,2.0,,1
25.0,3.0,3.0,1.0,1.0,,3.0,,,1
24.0,2.0,4.0,2.0,1.0,,3.0,,,1
23.0,4.0,4.0,1.0,1.0,0.0,2.0,,,1
23.0,4.0,4.0,2.0,1.0,0.0,3.0,,,1
,1.0,2.0,2.0,1.0,,2.0,,,1
,3.0,4.0,6.0,1.0,,1.0,,,1
21.0,3.0,3.0,0.0,1.0,,2.0,2.0,,1
22.0,3.0,4.0,2.0,1.0,,2.0,,,1
,3.0,4.0,3.0,1.0,,2.0,,,1
,3.0,3.0,2.0,1.0,0.0,2.0,,,1
25.0,1.0,4.0,2.0,1.0,0.0,3.0,,,1
,4.0,4.0,2.0,1.0,,3.0,,,1
,2.0,2.0,0.0,0.0,0.0,3.0,,,1
,2.0,3.0,5.0,0.0,0.0,2.0,,,1
,1.0,4.0,2.0,1.0,0.0,2.0,,,1
,3.0,3.0,5.0,1.0,0.0,3.0,,,1
16.0,3.0,4.0,1.0,1.0,,3.0,,,1
,2.0,3.0,4.0,0.0,,2.0,,,1
,4.0,4.0,3.0,0.0,,3.0,,,1
,1.0,1.0,2.0,1.0,0.0,3.0,,,1
,3.0,4.0,2.0,0.0,,1.0,,,1
21.0,1.0,3.0,0.0,1.0,0.0,3.0,,,1
,4.0,4.0,1.0,0.0,,1.0,,,1
25.0,4.0,4.0,1.0,0.0,,2.0,,,1
,1.0,3.0,4.0,1.0,,3.0,,,1
,4.0,4.0,2.0,0.0,,3.0,,,1
,4.0,4.0,4.0,1.0,,3.0,,,1
,3.0,4.0,1.0,0.0,,3.0,,,1
,3.0,4.0,1.0,0.0,,2.0,,,1
,1.0,2.0,0.0,1.0,0.0,4.0,,,1
21.0,1.0,2.0,1.0,1.0,0.0,3.0,,,1
,4.0,4.0,1.0,0.0,,1.0,,,1
27.0,4.0,4.0,1.0,0.0,,3.0,,,1
,2.0,2.0,8.0,1.0,,2.0,2.0,,1
,4.0,3.0,0.0,0.0,0.0,3.0,,,1
,4.0,4.0,3.0,1.0,0.0,2.0,,,1
25.0,4.0,4.0,0.0,1.0,0.0,2.0,,,1
,3.0,4.0,3.0,1.0,,2.0,1.0,,1
,2.0,3.0,4.0,1.0,0.0,3.0,2.0,,1
,3.0,3.0,8.0,1.0,,4.0,,,1
23.0,4.0,4.0,0.0,0.0,,2.0,,,1
,3.0,4.0,3.0,0.0,,3.0,,,1
21.0,4.0,4.0,1.0,1.0,,3.0,,,1
,4.0,4.0,1.0,0.0,,2.0,,,1
,4.0,4.0,1.0,0.0,0.0,3.0,,,1
,1.0,2.0,4.0,1.0,,3.0,2.0,,1
25.0,2.0,2.0,3.0,1.0,,3.0,,,1
25.0,3.0,3.0,1.0,1.0,,3.0,1.0,,1
19.0,2.0,2.0,2.0,1.0,,3.0,1.0,,1
,1.0,2.0,6.0,1.0,,3.0,1.0,,1
24.0,2.0,2.0,2.0,1.0,,3.0,1.0,,1
,2.0,2.0,1.0,1.0,,2.0,1.0,,1
,2.0,3.0,8.0,1.0,,3.0,2.0,,1
27.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,,1
23.0,2.0,4.0,2.0,1.0,,1.0,,,1
22.0,2.0,4.0,4.0,1.0,,3.0,,,1
,2.0,3.0,0.0,1.0,,1.0,2.0,,1
25.0,2.0,3.0,0.0,1.0,,2.0,,,1
18.0,3.0,4.0,1.0,1.0,,3.0,1.0,,1
,3.0,3.0,4.0,1.0,,2.0,,,1
,1.0,3.0,0.0,1.0,,3.0,,,1
,2.0,3.0,2.0,1.0,0.0,2.0,,,1
,3.0,2.0,0.0,1.0,,2.0,2.0,,1
20.0,2.0,3.0,3.0,1.0,,3.0,,,1
,3.0,3.0,3.0,1.0,0.0,2.0,,,1
23.0,4.0,4.0,1.0,1.0,,2.0,,,1
,2.0,3.0,7.0,1.0,0.0,3.0,,,1
23.0,3.0,3.0,6.0,1.0,,3.0,,,1
,3.0,3.0,5.0,1.0,,1.0,,,1
,2.0,3.0,4.0,1.0,,2.0,,,1
17.0,2.0,3.0,1.0,1.0,,3.0,2.0,,1
,3.0,4.0,3.0,1.0,,1.0,,,1
,1.0,3.0,0.0,1.0,,3.0,,,1
23.0,3.0,3.0,2.0,1.0,,2.0,2.0,,1
,3.0,3.0,3.0,1.0,,2.0,2.0,,1
,2.0,4.0,5.0,1.0,,2.0,,,1
18.0,2.0,3.0,1.0,1.0,,2.0,,,1
,1.0,2.0,8.0,1.0,,3.0,,,1
,3.0,3.0,6.0,1.0,,2.0,2.0,,1
,2.0,4.0,5.0,0.0,,2.0,2.0,,1
,2.0,3.0,2.0,0.0,0.0,3.0,,,1
25.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,,1
,2.0,4.0,5.0,1.0,,3.0,,,1
,4.0,4.0,2.0,1.0,0.0,1.0,,,1
,4.0,4.0,3.0,1.0,0.0,1.0,,,1
19.0,4.0,4.0,0.0,0.0,,3.0,,,1
,2.0,4.0,1.0,1.0,0.0,3.0,,,1
20.0,2.0,3.0,1.0,1.0,,3.0,,,1
,4.0,4.0,0.0,1.0,0.0,3.0,,,1
,4.0,4.0,5.0,1.0,,3.0,,,1
,1.0,4.0,6.0,1.0,,1.0,,,1
25.0,3.0,3.0,0.0,1.0,,3.0,,,1
,4.0,4.0,0.0,1.0,0.0,2.0,,,1
,4.0,4.0,2.0,0.0,,1.0,,,1
,1.0,3.0,6.0,1.0,,2.0,,,1
,1.0,1.0,8.0,1.0,0.0,2.0,2.0,,1
19.0,2.0,2.0,0.0,1.0,,2.0,2.0,,1
,1.0,2.0,3.0,1.0,,2.0,1.0,,1
,1.0,2.0,2.0,1.0,,3.0,1.0,,1
,3.0,4.0,5.0,1.0,,1.0,,,1
,2.0,2.0,8.0,1.0,,2.0,2.0,,1
,1.0,2.0,1.0,1.0,,3.0,,,1
,3.0,4.0,4.0,1.0,0.0,1.0,,,1
23.0,3.0,3.0,2.0,1.0,,3.0,,,1
24.0,2.0,2.0,3.0,1.0,,2.0,,,1
,3.0,3.0,2.0,1.0,,2.0,,,1
,3.0,3.0,2.0,1.0,0.0,2.0,2.0,,1
19.0,3.0,3.0,1.0,1.0,,2.0,,,1
,2.0,3.0,4.0,1.0,0.0,2.0,,,1
,2.0,4.0,2.0,1.0,,3.0,,,1
,1.0,1.0,1.0,1.0,,3.0,,,1
25.0,2.0,2.0,2.0,1.0,,3.0,1.0,,1
20.0,2.0,3.0,3.0,1.0,,3.0,,,1
,3.0,3.0,6.0,1.0,,3.0,,,2
,4.0,3.0,5.0,1.0,,1.0,,,2
,4.0,4.0,4.0,1.0,,1.0,,,2
26.0,4.0,4.0,2.0,1.0,0.0,1.0,,,2
,3.0,3.0,5.0,1.0,0.0,1.0,,,2
,3.0,4.0,3.0,1.0,,1.0,,,2
,2.0,4.0,4.0,1.0,,3.0,,,2
,4.0,4.0,2.0,1.0,,1.0,,,2
25.0,2.0,4.0,6.0,1.0,,3.0,,,2
,2.0,3.0,7.0,1.0,,3.0,,,2
,4.0,4.0,2.0,0.0,0.0,1.0,,,2
,4.0,4.0,4.0,1.0,,1.0,,,2
26.0,1.0,1.0,2.0,1.0,,3.0,,,2
,2.0,4.0,3.0,1.0,,3.0,,,2
,4.0,4.0,4.0,0.0,0.0,1.0,2.0,,2
23.0,4.0,4.0,1.0,1.0,,1.0,2.0,,2
18.0,3.0,4.0,1.0,1.0,,3.0,,,2
25.0,3.0,4.0,3.0,1.0,,2.0,,,2
,4.0,4.0,2.0,1.0,0.0,3.0,,,2
20.0,3.0,4.0,1.0,1.0,,3.0,2.0,,2
,4.0,4.0,7.0,1.0,,1.0,,,2
,2.0,1.0,2.0,1.0,0.0,3.0,,,2
,2.0,2.0,3.0,1.0,,2.0,,,2
,2.0,3.0,2.0,1.0,,3.0,,,2
,2.0,4.0,1.0,1.0,0.0,3.0,,,2
,4.0,4.0,4.0,1.0,,2.0,,,2
,4.0,3.0,7.0,1.0,0.0,2.0,,,2
,4.0,4.0,2.0,1.0,0.0,1.0,,,2
,4.0,4.0,2.0,0.0,0.0,1.0,,,2
,4.0,4.0,10.0,1.0,,1.0,,,2
,2.0,2.0,6.0,1.0,0.0,3.0,,,2
,4.0,4.0,3.0,1.0,,1.0,,,2
,4.0,4.0,5.0,0.0,0.0,1.0,,,2
,4.0,4.0,3.0,0.0,,1.0,,,2
20.0,3.0,4.0,1.0,1.0,,2.0,,,2
23.0,4.0,4.0,1.0,1.0,,3.0,,,2
26.0,2.0,4.0,2.0,1.0,,1.0,,,2
25.0,3.0,3.0,1.0,1.0,,3.0,1.0,,2
,4.0,4.0,1.0,1.0,,1.0,,,2
,4.0,4.0,2.0,1.0,,2.0,,,2
,3.0,3.0,2.0,1.0,0.0,3.0,,,2
,4.0,4.0,3.0,1.0,,1.0,,,2
,4.0,4.0,3.0,1.0,,1.0,,,2
,4.0,4.0,4.0,1.0,,1.0,,,2
,4.0,4.0,8.0,0.0,,1.0,,,2
,4.0,4.0,4.0,1.0,0.0,1.0,,,2
,4.0,4.0,2.0,1.0,,1.0,,,2
,4.0,4.0,3.0,1.0,,1.0,,,2
,4.0,4.0,3.0,1.0,,1.0,,,2
,4.0,4.0,4.0,0.0,,1.0,,,2
,4.0,4.0,2.0,1.0,,1.0,,,2
27.0,3.0,3.0,1.0,0.0,0.0,2.0,,,2
,4.0,3.0,8.0,1.0,,1.0,,,2
24.0,1.0,4.0,1.0,1.0,0.0,4.0,2.0,,2
,2.0,4.0,8.0,1.0,,1.0,,,2
,4.0,4.0,3.0,0.0,0.0,4.0,,,2
,2.0,3.0,2.0,1.0,,3.0,,,2
,4.0,4.0,4.0,1.0,,3.0,,,2
,4.0,4.0,4.0,0.0,0.0,1.0,,,2
,4.0,4.0,8.0,1.0,,1.0,,,2
,4.0,4.0,3.0,1.0,,1.0,,,2
,4.0,4.0,6.0,0.0,,1.0,,,2
21.0,4.0,4.0,1.0,1.0,,1.0,,,2
,4.0,4.0,6.0,1.0,,1.0,,,2
,4.0,4.0,4.0,1.0,0.0,2.0,,,2
19.0,4.0,4.0,1.0,1.0,,2.0,,,2
,1.0,3.0,7.0,1.0,0.0,2.0,,,2
24.0,4.0,4.0,1.0,1.0,,3.0,2.0,,2
,3.0,4.0,7.0,0.0,,1.0,,,2
