pclass,age,sibsp,parch,fare
3.0,22.0,,0,7.25
3.0,27.0,,0,7.8958
2.0,30.0,0.0,0,12.35
,,1.0,1,29.0
1.0,36.0,,0,135.6333
3.0,61.0,0.0,0,6.2375
2.0,36.0,,0,13.0
,,1.0,1,20.525
1.0,16.0,0.0,1,57.9792
,,0.0,0,28.5
1.0,38.0,0.0,1,153.4625
,,2.0,0,18.0
1.0,29.0,,0,66.6
1.0,41.0,,0,134.5
3.0,45.0,0.0,0,8.05
,,0.0,0,35.5
,,1.0,1,26.0
1.0,24.0,3.0,2,263.0
2.0,28.0,,0,13.0
2.0,25.0,,0,13.0
2.0,36.0,,0,13.0
2.0,24.0,0.0,0,13.0
2.0,40.0,0.0,0,13.0
,,1.0,1,15.9
3.0,42.0,0.0,0,8.6625
3.0,23.0,0.0,0,9.225
3.0,15.0,1.0,1,7.2292
,,,0,17.8
3.0,28.0,0.0,0,9.5
1.0,22.0,0.0,1,55.0
2.0,38.0,,0,13.0
,,1.0,4,27.9
,,1.0,0,27.7208
3.0,45.0,0.0,1,14.4542
3.0,35.0,0.0,0,7.05
3.0,30.0,0.0,0,7.25
1.0,60.0,1.0,0,75.25
1.0,24.0,,0,69.3
1.0,25.0,,0,55.4417
3.0,18.0,1.0,0,6.4958
3.0,19.0,,0,8.05
1.0,22.0,,0,135.6333
,,3.0,1,21.075
3.0,22.0,0.0,0,7.25
1.0,27.0,0.0,2,211.5
3.0,20.0,0.0,0,4.0125
3.0,19.0,0.0,0,7.775
1.0,42.0,0.0,0,227.525
,,0.0,2,15.7417
3.0,32.0,0.0,0,7.925
1.0,35.0,,0,52.0
2.0,18.0,0.0,0,73.5
3.0,1.0,5.0,2,46.9
2.0,36.0,0.0,0,13.0
2.0,17.0,,0,12.0
1.0,36.0,1.0,2,120.0
3.0,21.0,,0,7.7958
3.0,28.0,2.0,0,7.925
1.0,23.0,1.0,0,113.275
,,0.0,2,16.7
3.0,22.0,,0,7.7958
3.0,31.0,,0,7.8542
,,0.0,0,26.0
2.0,23.0,0.0,0,10.5
2.0,28.0,,0,12.65
3.0,39.0,0.0,0,7.925
3.0,26.0,0.0,0,8.05
3.0,21.0,1.0,0,9.825
,,1.0,0,15.85
3.0,20.0,,0,8.6625
,,,0,21.0
3.0,51.0,,0,7.75
,,1.0,1,18.75
3.0,21.0,0.0,0,7.775
1.0,33.0,,0,90.0
3.0,44.0,,0,7.925
,,1.0,1,32.5
2.0,18.0,0.0,2,13.0
2.0,30.0,0.0,0,13.0
,,0.0,2,24.15
3.0,21.0,,0,7.7333
3.0,29.0,0.0,0,7.875
3.0,28.0,1.0,1,14.4
,,1.0,1,20.2125
,,,0,26.0
,,0.0,0,26.0
3.0,32.0,,0,8.05
,,0.0,0,26.55
,,1.0,0,26.0
3.0,17.0,,0,7.125
1.0,50.0,,0,55.9
1.0,14.0,1.0,2,120.0
,,2.0,2,34.375
,,2.0,3,18.75
1.0,64.0,1.0,4,263.0
2.0,31.0,0.0,0,10.5
,,1.0,1,26.25
3.0,20.0,,0,9.5
3.0,25.0,,0,7.775
2.0,28.0,0.0,0,13.0
1.0,4.0,0.0,2,81.8583
,,0.0,1,19.5
,,0.0,0,26.55
,,2.0,1,19.2583
,,,0,30.5
,,1.0,2,27.75
,,0.0,0,27.75
1.0,49.0,,0,89.1042
3.0,29.0,,0,7.8958
,,,0,26.55
2.0,50.0,,0,10.5
,,,0,26.55
3.0,34.0,0.0,0,8.05
,,,0,38.5
2.0,48.0,0.0,0,13.0
3.0,38.0,,0,7.05
,,0.0,0,26.55
,,2.0,1,19.2583
3.0,38.0,0.0,0,8.6625
,,1.0,2,27.75
2.0,23.0,,0,13.7917
3.0,22.0,,0,9.8375
,,1.0,0,21.0
3.0,29.0,,0,7.0458
3.0,22.0,0.0,0,7.5208
3.0,2.0,0.0,1,12.2875
,,5.0,2,46.9
3.0,50.0,,0,8.05
3.0,63.0,0.0,0,9.5875
1.0,25.0,1.0,0,91.0792
1.0,35.0,1.0,0,90.0
,,0.0,0,29.7
3.0,30.0,0.0,0,8.05
,,1.0,1,15.9
3.0,21.0,,0,7.25
,,0.0,0,30.5
1.0,71.0,0.0,0,49.5042
3.0,21.0,0.0,0,8.05
1.0,54.0,,0,78.2667
1.0,25.0,1.0,2,151.55
3.0,24.0,,0,7.7958
3.0,17.0,,0,8.6625
3.0,21.0,,0,7.75
3.0,37.0,0.0,0,9.5875
1.0,16.0,0.0,0,86.5
1.0,18.0,1.0,0,108.9
,,0.0,2,26.0
,,0.0,0,22.525
3.0,26.0,0.0,0,56.4958
3.0,29.0,,0,7.75
,,,0,26.2875
1.0,54.0,,0,59.4
3.0,24.0,,0,7.4958
,,,0,34.0208
2.0,34.0,,0,10.5
,,1.0,0,26.0
3.0,32.0,0.0,0,7.8958
1.0,30.0,,0,93.5
3.0,22.0,,0,7.8958
1.0,44.0,0.0,1,57.9792
3.0,40.5,,0,7.75
2.0,50.0,,0,10.5
3.0,39.0,,0,7.925
2.0,23.0,2.0,1,11.5
,,1.0,1,26.0
3.0,17.0,1.0,1,7.2292
3.0,30.0,0.0,0,8.6625
,,0.0,2,26.25
,,,0,26.55
1.0,30.0,,0,106.425
1.0,22.0,0.0,2,49.5
1.0,36.0,0.0,2,71.0
,,4.0,2,31.275
,,4.0,2,31.275
,,1.0,0,26.0
1.0,50.0,1.0,0,106.425
,,,0,26.0
,,,0,26.0
,,1.0,1,20.525
,,1.0,1,36.75
1.0,17.0,0.0,2,110.8833
,,0.0,0,26.0
3.0,22.0,0.0,0,7.225
3.0,22.0,,0,7.775
,,,0,26.55
,,1.0,0,39.6
1.0,39.0,1.0,1,79.65
,,,0,17.4
3.0,40.0,,0,7.8958
2.0,28.0,,0,13.5
,,,0,24.15
3.0,19.0,0.0,0,7.8958
,,0.0,4,21.075
3.0,32.0,0.0,0,7.8542
2.0,62.0,0.0,0,10.5
1.0,53.0,2.0,0,51.4792
,,,0,26.3875
3.0,16.0,0.0,0,8.05
3.0,19.0,0.0,0,14.5
2.0,34.0,,0,13.0
1.0,39.0,1.0,0,55.9
3.0,32.0,,0,7.925
,,1.0,1,30.0
1.0,39.0,1.0,1,110.8833
,,,0,26.0
,,,0,40.125
1.0,18.0,0.0,2,79.65
2.0,47.0,0.0,0,15.0
1.0,60.0,1.0,1,79.2
3.0,22.0,,0,8.05
3.0,35.0,0.0,0,7.125
1.0,52.0,,0,78.2667
3.0,47.0,,0,7.25
,,1.0,0,26.0
,,1.0,1,24.15
3.0,49.0,,0,0.0
1.0,49.0,,0,56.9292
,,2.0,1,27.0
3.0,44.0,0.0,0,8.05
,,0.0,0,26.55
3.0,36.0,1.0,0,15.55
3.0,30.0,0.0,0,7.8958
,,0.0,0,30.5
,,1.0,2,41.5792
1.0,40.0,,0,153.4625
,,1.0,5,31.275
3.0,35.0,0.0,0,8.05
2.0,24.0,1.0,2,65.0
3.0,34.0,1.0,1,14.4
,,,0,16.1
,,2.0,1,39.0
2.0,26.0,0.0,0,10.5
3.0,27.0,,0,14.4542
1.0,42.0,1.0,0,52.5542
,,,1,15.7417
3.0,21.0,0.0,0,7.8542
,,,0,16.1
,,0.0,0,32.3208
2.0,57.0,0.0,0,12.35
1.0,21.0,0.0,0,77.9583
3.0,26.0,,0,7.8958
,,,0,30.0
3.0,51.0,0.0,0,7.0542
,,,0,30.5
,,3.0,2,27.9
2.0,28.0,,0,13.0
3.0,32.0,0.0,0,7.925
,,1.0,1,26.25
,,0.0,5,39.6875
3.0,20.0,,0,7.8542
1.0,24.0,,0,69.3
,,3.0,2,27.9
,,2.0,1,19.2583
1.0,48.0,1.0,0,76.7292
3.0,19.0,0.0,0,7.8958
,,,0,35.5
3.0,23.0,,0,7.55
,,0.0,1,23.0
3.0,21.0,,0,8.4333
3.0,18.0,0.0,0,6.75
2.0,24.0,,0,73.5
3.0,32.0,1.0,1,15.5
2.0,23.0,0.0,0,13.0
1.0,58.0,0.0,2,113.275
1.0,50.0,,0,133.65
3.0,40.0,,0,7.225
,,,0,25.5875
3.0,36.0,,0,7.4958
3.0,20.0,1.0,0,7.925
2.0,32.0,,0,73.5
2.0,25.0,,0,13.0
3.0,43.0,,0,8.05
,,1.0,1,39.0
1.0,31.0,1.0,0,52.0
2.0,70.0,0.0,0,10.5
2.0,31.0,,0,13.0
3.0,18.0,0.0,0,7.775
3.0,24.5,0.0,0,8.05
3.0,18.0,0.0,0,9.8417
,,1.0,6,46.9
1.0,36.0,0.0,1,512.3292
1.0,27.0,,0,76.7292
3.0,20.0,0.0,0,9.225
3.0,14.0,5.0,2,46.9
,,1.0,1,39.0
,,1.0,2,41.5792
,,4.0,1,39.6875
3.0,19.0,,0,10.1708
3.0,18.0,,0,7.7958
1.0,15.0,0.0,1,211.3375
1.0,31.0,1.0,0,57.0
3.0,4.0,,1,13.4167
3.0,25.0,0.0,0,7.225
,,0.0,0,26.55
2.0,52.0,0.0,0,13.5
3.0,44.0,0.0,0,8.05
1.0,49.0,1.0,1,110.8833
3.0,42.0,0.0,0,7.65
1.0,18.0,,0,227.525
,,0.0,0,26.2875
3.0,18.0,,1,14.4542
3.0,25.0,,0,7.7417
3.0,26.0,1.0,0,7.8542
,,,0,26.0
2.0,45.0,,0,13.5
,,,0,26.2875
1.0,22.0,,0,151.55
1.0,24.0,0.0,0,49.5042
1.0,48.0,1.0,0,52.0
3.0,29.0,0.0,0,9.4833
2.0,52.0,,0,13.0
3.0,19.0,0.0,0,7.65
1.0,38.0,,0,227.525
2.0,27.0,0.0,0,10.5
3.0,33.0,0.0,0,7.775
,,,1,33.0
3.0,17.0,,0,7.0542
2.0,34.0,0.0,0,13.0
2.0,50.0,0.0,0,13.0
1.0,27.0,,0,53.1
3.0,20.0,0.0,0,8.6625
,,,0,21.0
,,,0,26.0
3.0,25.0,1.0,0,7.925
1.0,29.0,,0,211.3375
,,0.0,0,18.7875
2.0,23.0,0.0,0,13.0
2.0,23.0,0.0,0,13.0
,,0.0,0,16.1
,,1.0,3,34.375
1.0,35.0,0.0,0,512.3292
1.0,36.0,,0,78.85
1.0,21.0,2.0,2,262.375
,,1.0,0,16.1
3.0,31.0,,0,7.925
1.0,70.0,1.0,1,71.0
,,1.0,1,20.25
2.0,30.0,,0,13.0
1.0,19.0,1.0,0,53.1
3.0,31.0,0.0,0,7.75
,,,1,23.0
3.0,6.0,,1,12.475
3.0,33.0,0.0,0,9.5
3.0,23.0,,0,7.8958
2.0,48.0,1.0,2,65.0
2.0,0.67,1.0,1,14.5
3.0,28.0,,0,7.7958
2.0,18.0,,0,11.5
3.0,34.0,0.0,0,8.05
1.0,33.0,0.0,0,86.5
3.0,41.0,0.0,0,7.125
3.0,20.0,,0,7.2292
1.0,36.0,1.0,2,120.0
3.0,16.0,,0,7.775
1.0,51.0,,0,77.9583
3.0,30.5,,0,7.75
3.0,32.0,0.0,0,8.3625
3.0,24.0,,0,9.5
3.0,48.0,,0,7.8542
2.0,57.0,,0,10.5
,,1.0,3,23.0
3.0,18.0,,0,7.75
3.0,5.0,0.0,0,12.475
1.0,43.0,0.0,1,211.3375
3.0,13.0,0.0,0,7.2292
1.0,17.0,,0,57.0
,,,0,30.0
3.0,25.0,,0,7.05
3.0,25.0,,0,7.25
3.0,18.0,,0,7.4958
,,4.0,1,29.125
,,1.0,2,20.575
1.0,46.0,0.0,0,79.2
,,0.0,0,26.0
3.0,25.0,0.0,0,7.8958
2.0,39.0,0.0,0,13.0
,,0.0,0,25.9292
3.0,31.0,0.0,0,8.6833
3.0,30.0,0.0,0,7.2292
,,1.0,1,24.15
2.0,34.0,0.0,0,13.0
,,1.0,1,26.25
1.0,11.0,1.0,2,120.0
3.0,0.42,,1,8.5167
3.0,27.0,0.0,0,6.975
3.0,31.0,,0,7.775
1.0,39.0,,0,0.0
3.0,18.0,0.0,0,7.775
2.0,39.0,,0,13.0
1.0,33.0,1.0,0,53.1
3.0,26.0,0.0,0,7.8875
,,0.0,0,24.15
2.0,35.0,0.0,0,10.5
,,4.0,2,31.275
3.0,30.5,,0,8.05
3.0,23.0,,0,7.925
,,1.0,1,37.0042
3.0,43.0,0.0,0,6.45
,,3.0,2,27.9
1.0,52.0,1.0,1,93.5
3.0,27.0,,0,8.6625
1.0,38.0,,0,0.0
3.0,27.0,,1,12.475
,,4.0,1,39.6875
,,0.0,2,37.0042
3.0,15.0,,0,14.4542
,,1.0,1,18.75
3.0,23.0,,0,7.8542
3.0,18.0,,0,8.3
1.0,39.0,1.0,1,83.1583
3.0,21.0,0.0,0,8.6625
3.0,32.0,,0,56.4958
3.0,20.0,,0,7.925
2.0,16.0,0.0,0,10.5
,,,0,31.0
3.0,34.5,,0,6.4375
3.0,17.0,,0,8.6625
3.0,42.0,,0,7.55
3.0,35.0,,0,7.8958
,,0.0,1,33.0
,,4.0,2,31.275
3.0,74.0,0.0,0,7.775
3.0,9.0,,1,15.2458
,,,1,39.4
,,,0,26.0
3.0,18.0,0.0,1,9.35
1.0,45.0,,1,164.8667
,,,0,26.55
,,0.0,3,19.2583
3.0,41.0,2.0,0,14.1083
2.0,21.0,,0,11.5
,,,0,25.9292
2.0,24.0,,0,13.0
2.0,42.0,,0,13.0
2.0,27.0,1.0,0,13.8583
1.0,31.0,0.0,0,50.4958
3.0,4.0,1.0,1,11.1333
3.0,26.0,,0,7.8958
1.0,47.0,,1,52.5542
1.0,33.0,0.0,0,5.0
3.0,47.0,,0,9.0
,,,0,24.0
3.0,15.0,,0,7.225
3.0,20.0,0.0,0,9.8458
3.0,19.0,,0,7.8958
1.0,56.0,0.0,1,83.1583
,,0.0,1,26.0
3.0,33.0,,0,7.8958
3.0,22.0,0.0,0,10.5167
2.0,28.0,0.0,0,10.5
3.0,25.0,0.0,0,7.05
,,0.0,5,29.125
2.0,27.0,0.0,0,13.0
,,,0,30.0
,,0.0,0,30.0
3.0,32.0,,0,7.75
